Fuel Group Hierarchy - Fuel Group,Fuel Type,Year,Final Consumption
Coal,Anthracite + Manufactured Ovoids,1990,0
Coal,Anthracite + Manufactured Ovoids,1991,93
Coal,Anthracite + Manufactured Ovoids,1992,129
Coal,Anthracite + Manufactured Ovoids,1993,116
Coal,Anthracite + Manufactured Ovoids,1994,65
Coal,Anthracite + Manufactured Ovoids,1995,47
Coal,Anthracite + Manufactured Ovoids,1996,69
Coal,Anthracite + Manufactured Ovoids,1997,38
Coal,Anthracite + Manufactured Ovoids,1998,57
Coal,Anthracite + Manufactured Ovoids,1999,47
Coal,Anthracite + Manufactured Ovoids,2000,59
Coal,Anthracite + Manufactured Ovoids,2001,62
Coal,Anthracite + Manufactured Ovoids,2002,56
Coal,Anthracite + Manufactured Ovoids,2003,56
Coal,Anthracite + Manufactured Ovoids,2004,62
Coal,Anthracite + Manufactured Ovoids,2005,62
Coal,Anthracite + Manufactured Ovoids,2006,60
Coal,Anthracite + Manufactured Ovoids,2007,63
Coal,Anthracite + Manufactured Ovoids,2008,60
Coal,Anthracite + Manufactured Ovoids,2009,70
Coal,Anthracite + Manufactured Ovoids,2010,67
Coal,Anthracite + Manufactured Ovoids,2011,57
Coal,Anthracite + Manufactured Ovoids,2012,65
Coal,Anthracite + Manufactured Ovoids,2013,78
Coal,Anthracite + Manufactured Ovoids,2014,91
Coal,Anthracite + Manufactured Ovoids,2015,75
Coal,Anthracite + Manufactured Ovoids,2016,89
Coal,Anthracite + Manufactured Ovoids,2017,85
Coal,Anthracite + Manufactured Ovoids,2018,90
Coal,Anthracite + Manufactured Ovoids,2019,88
Coal,Anthracite + Manufactured Ovoids,2020,89
Coal,Anthracite + Manufactured Ovoids,2021,91
Coal,Anthracite + Manufactured Ovoids,2022,89
Coal,Bituminous Coal,1990,825
Coal,Bituminous Coal,1991,790
Coal,Bituminous Coal,1992,431
Coal,Bituminous Coal,1993,473
Coal,Bituminous Coal,1994,305
Coal,Bituminous Coal,1995,249
Coal,Bituminous Coal,1996,399
Coal,Bituminous Coal,1997,312
Coal,Bituminous Coal,1998,318
Coal,Bituminous Coal,1999,261
Coal,Bituminous Coal,2000,323
Coal,Bituminous Coal,2001,311
Coal,Bituminous Coal,2002,292
Coal,Bituminous Coal,2003,392
Coal,Bituminous Coal,2004,401
Coal,Bituminous Coal,2005,424
Coal,Bituminous Coal,2006,390
Coal,Bituminous Coal,2007,377
Coal,Bituminous Coal,2008,378
Coal,Bituminous Coal,2009,298
Coal,Bituminous Coal,2010,302
Coal,Bituminous Coal,2011,262
Coal,Bituminous Coal,2012,263
Coal,Bituminous Coal,2013,256
Coal,Bituminous Coal,2014,240
Coal,Bituminous Coal,2015,261
Coal,Bituminous Coal,2016,260
Coal,Bituminous Coal,2017,199
Coal,Bituminous Coal,2018,222
Coal,Bituminous Coal,2019,169
Coal,Bituminous Coal,2020,176
Coal,Bituminous Coal,2021,172
Coal,Bituminous Coal,2022,98
Coal,Coke,1990,0
Coal,Coke,1991,0
Coal,Coke,1992,0
Coal,Coke,1993,0
Coal,Coke,1994,0
Coal,Coke,1995,0
Coal,Coke,1996,0
Coal,Coke,1997,0
Coal,Coke,1998,0
Coal,Coke,1999,0
Coal,Coke,2000,0
Coal,Coke,2001,0
Coal,Coke,2002,0
Coal,Coke,2003,0
Coal,Coke,2004,0
Coal,Coke,2005,0
Coal,Coke,2006,0
Coal,Coke,2007,0
Coal,Coke,2008,0
Coal,Coke,2009,0
Coal,Coke,2010,0
Coal,Coke,2011,0
Coal,Coke,2012,0
Coal,Coke,2013,0
Coal,Coke,2014,0
Coal,Coke,2015,0
Coal,Coke,2016,0
Coal,Coke,2017,0
Coal,Coke,2018,0
Coal,Coke,2019,0
Coal,Coke,2020,0
Coal,Coke,2021,0
Coal,Coke,2022,0
Coal,Lignite,1990,18
Coal,Lignite,1991,33
Coal,Lignite,1992,26
Coal,Lignite,1993,21
Coal,Lignite,1994,20
Coal,Lignite,1995,21
Coal,Lignite,1996,19
Coal,Lignite,1997,18
Coal,Lignite,1998,23
Coal,Lignite,1999,19
Coal,Lignite,2000,17
Coal,Lignite,2001,21
Coal,Lignite,2002,26
Coal,Lignite,2003,20
Coal,Lignite,2004,16
Coal,Lignite,2005,25
Coal,Lignite,2006,5
Coal,Lignite,2007,7
Coal,Lignite,2008,11
Coal,Lignite,2009,12
Coal,Lignite,2010,10
Coal,Lignite,2011,11
Coal,Lignite,2012,12
Coal,Lignite,2013,17
Coal,Lignite,2014,13
Coal,Lignite,2015,18
Coal,Lignite,2016,16
Coal,Lignite,2017,14
Coal,Lignite,2018,12
Coal,Lignite,2019,9
Coal,Lignite,2020,7
Coal,Lignite,2021,12
Coal,Lignite,2022,8
Electricity,Electricity,1990,1298
Electricity,Electricity,1991,1370
Electricity,Electricity,1992,1454
Electricity,Electricity,1993,1492
Electricity,Electricity,1994,1556
Electricity,Electricity,1995,1630
Electricity,Electricity,1996,1745
Electricity,Electricity,1997,1847
Electricity,Electricity,1998,1959
Electricity,Electricity,1999,2099
Electricity,Electricity,2000,2275
Electricity,Electricity,2001,2379
Electricity,Electricity,2002,2504
Electricity,Electricity,2003,2676
Electricity,Electricity,2004,2690
Electricity,Electricity,2005,2882
Electricity,Electricity,2006,3087
Electricity,Electricity,2007,3117
Electricity,Electricity,2008,3236
Electricity,Electricity,2009,3095
Electricity,Electricity,2010,3078
Electricity,Electricity,2011,3048
Electricity,Electricity,2012,3041
Electricity,Electricity,2013,3046
Electricity,Electricity,2014,3025
Electricity,Electricity,2015,3191
Electricity,Electricity,2016,3272
Electricity,Electricity,2017,3312
Electricity,Electricity,2018,3529
Electricity,Electricity,2019,3628
Electricity,Electricity,2020,3577
Electricity,Electricity,2021,3802
Electricity,Electricity,2022,3970
Natural Gas,Natural Gas,1990,664
Natural Gas,Natural Gas,1991,765
Natural Gas,Natural Gas,1992,801
Natural Gas,Natural Gas,1993,921
Natural Gas,Natural Gas,1994,947
Natural Gas,Natural Gas,1995,974
Natural Gas,Natural Gas,1996,1067
Natural Gas,Natural Gas,1997,1080
Natural Gas,Natural Gas,1998,1192
Natural Gas,Natural Gas,1999,1284
Natural Gas,Natural Gas,2000,1496
Natural Gas,Natural Gas,2001,1524
Natural Gas,Natural Gas,2002,1473
Natural Gas,Natural Gas,2003,1558
Natural Gas,Natural Gas,2004,1633
Natural Gas,Natural Gas,2005,1650
Natural Gas,Natural Gas,2006,1776
Natural Gas,Natural Gas,2007,1764
Natural Gas,Natural Gas,2008,1878
Natural Gas,Natural Gas,2009,1760
Natural Gas,Natural Gas,2010,1922
Natural Gas,Natural Gas,2011,1806
Natural Gas,Natural Gas,2012,1964
Natural Gas,Natural Gas,2013,1957
Natural Gas,Natural Gas,2014,1925
Natural Gas,Natural Gas,2015,2062
Natural Gas,Natural Gas,2016,2126
Natural Gas,Natural Gas,2017,2139
Natural Gas,Natural Gas,2018,2306
Natural Gas,Natural Gas,2019,2334
Natural Gas,Natural Gas,2020,2268
Natural Gas,Natural Gas,2021,2302
Natural Gas,Natural Gas,2022,2149
Non-Renewable Waste,Non-Renewable Waste,1990,0
Non-Renewable Waste,Non-Renewable Waste,1991,0
Non-Renewable Waste,Non-Renewable Waste,1992,0
Non-Renewable Waste,Non-Renewable Waste,1993,0
Non-Renewable Waste,Non-Renewable Waste,1994,0
Non-Renewable Waste,Non-Renewable Waste,1995,0
Non-Renewable Waste,Non-Renewable Waste,1996,0
Non-Renewable Waste,Non-Renewable Waste,1997,0
Non-Renewable Waste,Non-Renewable Waste,1998,0
Non-Renewable Waste,Non-Renewable Waste,1999,0
Non-Renewable Waste,Non-Renewable Waste,2000,0
Non-Renewable Waste,Non-Renewable Waste,2001,0
Non-Renewable Waste,Non-Renewable Waste,2002,0
Non-Renewable Waste,Non-Renewable Waste,2003,0
Non-Renewable Waste,Non-Renewable Waste,2004,0
Non-Renewable Waste,Non-Renewable Waste,2005,0
Non-Renewable Waste,Non-Renewable Waste,2006,0
Non-Renewable Waste,Non-Renewable Waste,2007,0
Non-Renewable Waste,Non-Renewable Waste,2008,0
Non-Renewable Waste,Non-Renewable Waste,2009,13
Non-Renewable Waste,Non-Renewable Waste,2010,9
Non-Renewable Waste,Non-Renewable Waste,2011,14
Non-Renewable Waste,Non-Renewable Waste,2012,27
Non-Renewable Waste,Non-Renewable Waste,2013,39
Non-Renewable Waste,Non-Renewable Waste,2014,42
Non-Renewable Waste,Non-Renewable Waste,2015,44
Non-Renewable Waste,Non-Renewable Waste,2016,42
Non-Renewable Waste,Non-Renewable Waste,2017,57
Non-Renewable Waste,Non-Renewable Waste,2018,55
Non-Renewable Waste,Non-Renewable Waste,2019,57
Non-Renewable Waste,Non-Renewable Waste,2020,54
Non-Renewable Waste,Non-Renewable Waste,2021,54
Non-Renewable Waste,Non-Renewable Waste,2022,58
Oil,Bitumen,1990,0
Oil,Bitumen,1991,0
Oil,Bitumen,1992,0
Oil,Bitumen,1993,0
Oil,Bitumen,1994,0
Oil,Bitumen,1995,0
Oil,Bitumen,1996,0
Oil,Bitumen,1997,0
Oil,Bitumen,1998,0
Oil,Bitumen,1999,0
Oil,Bitumen,2000,0
Oil,Bitumen,2001,0
Oil,Bitumen,2002,0
Oil,Bitumen,2003,0
Oil,Bitumen,2004,0
Oil,Bitumen,2005,0
Oil,Bitumen,2006,0
Oil,Bitumen,2007,0
Oil,Bitumen,2008,0
Oil,Bitumen,2009,0
Oil,Bitumen,2010,0
Oil,Bitumen,2011,0
Oil,Bitumen,2012,0
Oil,Bitumen,2013,0
Oil,Bitumen,2014,0
Oil,Bitumen,2015,0
Oil,Bitumen,2016,0
Oil,Bitumen,2017,0
Oil,Bitumen,2018,0
Oil,Bitumen,2019,0
Oil,Bitumen,2020,0
Oil,Bitumen,2021,0
Oil,Bitumen,2022,0
Oil,Crude,1990,0
Oil,Crude,1991,0
Oil,Crude,1992,0
Oil,Crude,1993,0
Oil,Crude,1994,0
Oil,Crude,1995,0
Oil,Crude,1996,0
Oil,Crude,1997,0
Oil,Crude,1998,0
Oil,Crude,1999,0
Oil,Crude,2000,0
Oil,Crude,2001,0
Oil,Crude,2002,0
Oil,Crude,2003,0
Oil,Crude,2004,0
Oil,Crude,2005,0
Oil,Crude,2006,0
Oil,Crude,2007,0
Oil,Crude,2008,0
Oil,Crude,2009,0
Oil,Crude,2010,0
Oil,Crude,2011,0
Oil,Crude,2012,0
Oil,Crude,2013,0
Oil,Crude,2014,0
Oil,Crude,2015,0
Oil,Crude,2016,0
Oil,Crude,2017,0
Oil,Crude,2018,0
Oil,Crude,2019,0
Oil,Crude,2020,0
Oil,Crude,2021,0
Oil,Crude,2022,0
Oil,Fuel Oil,1990,737
Oil,Fuel Oil,1991,680
Oil,Fuel Oil,1992,731
Oil,Fuel Oil,1993,709
Oil,Fuel Oil,1994,817
Oil,Fuel Oil,1995,739
Oil,Fuel Oil,1996,669
Oil,Fuel Oil,1997,691
Oil,Fuel Oil,1998,652
Oil,Fuel Oil,1999,690
Oil,Fuel Oil,2000,731
Oil,Fuel Oil,2001,621
Oil,Fuel Oil,2002,562
Oil,Fuel Oil,2003,522
Oil,Fuel Oil,2004,523
Oil,Fuel Oil,2005,509
Oil,Fuel Oil,2006,391
Oil,Fuel Oil,2007,379
Oil,Fuel Oil,2008,351
Oil,Fuel Oil,2009,273
Oil,Fuel Oil,2010,325
Oil,Fuel Oil,2011,181
Oil,Fuel Oil,2012,118
Oil,Fuel Oil,2013,146
Oil,Fuel Oil,2014,82
Oil,Fuel Oil,2015,47
Oil,Fuel Oil,2016,37
Oil,Fuel Oil,2017,33
Oil,Fuel Oil,2018,32
Oil,Fuel Oil,2019,30
Oil,Fuel Oil,2020,30
Oil,Fuel Oil,2021,22
Oil,Fuel Oil,2022,22
Oil,Gasoil/Diesel/DERV,1990,2365
Oil,Gasoil/Diesel/DERV,1991,2462
Oil,Gasoil/Diesel/DERV,1992,2539
Oil,Gasoil/Diesel/DERV,1993,2540
Oil,Gasoil/Diesel/DERV,1994,2803
Oil,Gasoil/Diesel/DERV,1995,2884
Oil,Gasoil/Diesel/DERV,1996,2867
Oil,Gasoil/Diesel/DERV,1997,2946
Oil,Gasoil/Diesel/DERV,1998,3205
Oil,Gasoil/Diesel/DERV,1999,3456
Oil,Gasoil/Diesel/DERV,2000,3707
Oil,Gasoil/Diesel/DERV,2001,3806
Oil,Gasoil/Diesel/DERV,2002,3820
Oil,Gasoil/Diesel/DERV,2003,3882
Oil,Gasoil/Diesel/DERV,2004,3963
Oil,Gasoil/Diesel/DERV,2005,4200
Oil,Gasoil/Diesel/DERV,2006,4277
Oil,Gasoil/Diesel/DERV,2007,4358
Oil,Gasoil/Diesel/DERV,2008,4323
Oil,Gasoil/Diesel/DERV,2009,3804
Oil,Gasoil/Diesel/DERV,2010,3581
Oil,Gasoil/Diesel/DERV,2011,3498
Oil,Gasoil/Diesel/DERV,2012,3437
Oil,Gasoil/Diesel/DERV,2013,3446
Oil,Gasoil/Diesel/DERV,2014,3468
Oil,Gasoil/Diesel/DERV,2015,3700
Oil,Gasoil/Diesel/DERV,2016,3941
Oil,Gasoil/Diesel/DERV,2017,3956
Oil,Gasoil/Diesel/DERV,2018,4159
Oil,Gasoil/Diesel/DERV,2019,4168
Oil,Gasoil/Diesel/DERV,2020,3730
Oil,Gasoil/Diesel/DERV,2021,3913
Oil,Gasoil/Diesel/DERV,2022,4170
Oil,Gasoline,1990,942
Oil,Gasoline,1991,964
Oil,Gasoline,1992,1034
Oil,Gasoline,1993,1015
Oil,Gasoline,1994,1048
Oil,Gasoline,1995,1104
Oil,Gasoline,1996,1170
Oil,Gasoline,1997,1251
Oil,Gasoline,1998,1391
Oil,Gasoline,1999,1506
Oil,Gasoline,2000,1590
Oil,Gasoline,2001,1652
Oil,Gasoline,2002,1688
Oil,Gasoline,2003,1686
Oil,Gasoline,2004,1731
Oil,Gasoline,2005,1822
Oil,Gasoline,2006,1849
Oil,Gasoline,2007,1886
Oil,Gasoline,2008,1798
Oil,Gasoline,2009,1636
Oil,Gasoline,2010,1478
Oil,Gasoline,2011,1399
Oil,Gasoline,2012,1272
Oil,Gasoline,2013,1197
Oil,Gasoline,2014,1134
Oil,Gasoline,2015,1075
Oil,Gasoline,2016,1003
Oil,Gasoline,2017,904
Oil,Gasoline,2018,821
Oil,Gasoline,2019,781
Oil,Gasoline,2020,578
Oil,Gasoline,2021,613
Oil,Gasoline,2022,698
Oil,Jet Kerosene,1990,374
Oil,Jet Kerosene,1991,361
Oil,Jet Kerosene,1992,316
Oil,Jet Kerosene,1993,460
Oil,Jet Kerosene,1994,410
Oil,Jet Kerosene,1995,400
Oil,Jet Kerosene,1996,370
Oil,Jet Kerosene,1997,444
Oil,Jet Kerosene,1998,459
Oil,Jet Kerosene,1999,542
Oil,Jet Kerosene,2000,629
Oil,Jet Kerosene,2001,755
Oil,Jet Kerosene,2002,802
Oil,Jet Kerosene,2003,784
Oil,Jet Kerosene,2004,743
Oil,Jet Kerosene,2005,857
Oil,Jet Kerosene,2006,988
Oil,Jet Kerosene,2007,1043
Oil,Jet Kerosene,2008,970
Oil,Jet Kerosene,2009,767
Oil,Jet Kerosene,2010,787
Oil,Jet Kerosene,2011,699
Oil,Jet Kerosene,2012,586
Oil,Jet Kerosene,2013,675
Oil,Jet Kerosene,2014,748
Oil,Jet Kerosene,2015,846
Oil,Jet Kerosene,2016,868
Oil,Jet Kerosene,2017,1021
Oil,Jet Kerosene,2018,1103
Oil,Jet Kerosene,2019,1116
Oil,Jet Kerosene,2020,398
Oil,Jet Kerosene,2021,446
Oil,Jet Kerosene,2022,1018
Oil,Kerosene,1990,121
Oil,Kerosene,1991,132
Oil,Kerosene,1992,123
Oil,Kerosene,1993,142
Oil,Kerosene,1994,240
Oil,Kerosene,1995,328
Oil,Kerosene,1996,426
Oil,Kerosene,1997,463
Oil,Kerosene,1998,549
Oil,Kerosene,1999,701
Oil,Kerosene,2000,673
Oil,Kerosene,2001,762
Oil,Kerosene,2002,785
Oil,Kerosene,2003,853
Oil,Kerosene,2004,920
Oil,Kerosene,2005,946
Oil,Kerosene,2006,945
Oil,Kerosene,2007,943
Oil,Kerosene,2008,1051
Oil,Kerosene,2009,1098
Oil,Kerosene,2010,1159
Oil,Kerosene,2011,928
Oil,Kerosene,2012,799
Oil,Kerosene,2013,843
Oil,Kerosene,2014,800
Oil,Kerosene,2015,921
Oil,Kerosene,2016,965
Oil,Kerosene,2017,918
Oil,Kerosene,2018,996
Oil,Kerosene,2019,972
Oil,Kerosene,2020,1122
Oil,Kerosene,2021,990
Oil,Kerosene,2022,827
Oil,LPG,1990,157
Oil,LPG,1991,167
Oil,LPG,1992,161
Oil,LPG,1993,165
Oil,LPG,1994,173
Oil,LPG,1995,168
Oil,LPG,1996,161
Oil,LPG,1997,161
Oil,LPG,1998,172
