Year,Gas,Coal,Peat,Oil,Wastes Non-Renewable,Renewables,Net Positive Electricity Imports,Non-renewable sum (ktoe),Sum energy sources (ktoe)
2005,995.364,549.454,210.7,287.24,0.0,161.115152,175.7969,2218.5549,2379.670052
2006,1185.51,506.024,183.868,243.724,0.0,212.8282315,152.8974947,2272.0234947000004,2484.8517262000005
2007,1380.958787,467.5785783,185.9480067,163.2892699,0.0,240.9771513,114.4101011,2312.184743,2553.1618943
2008,1437.586114,442.2002161,236.8745425,146.8928195,0.0,309.1997659,38.71861289,2302.2723049899996,2611.4720708899995
2009,1401.638184,344.3709839,226.1012315,78.93456105,0.0,354.1134843,65.68277855,2116.727739,2470.8412233
2010,1557.524904,305.7055629,187.3898785,51.87435555,0.0,320.6751909,40.44803712,2142.9427380700004,2463.6179289700003
2011,1327.169071,339.2504073,183.1609312,20.09690908,0.0,466.429009,42.14817722,1911.8254958,2378.2545048
2012,1215.978919,432.0948691,209.6495925,20.27974005,4.278333168,452.0391294,35.55883289,1917.8402867080001,2369.879416108
2013,1129.158551,368.299872,196.2076452,16.23942398,5.630418303,483.972804,192.8285636,1908.3644740830002,2392.3372780830005
2014,1086.614043,340.2533336,214.6633809,22.24736987,5.985035553,549.6911399,184.818902,1854.5820649230002,2404.273204823
2015,1063.604259,419.1795188,216.5669628,35.00940629,6.36928174,676.1096912,57.90982,1798.6392486299999,2474.7489398299995
2016,1318.242594,403.8440934,199.338118,25.16511173,6.260816403,646.1513092,0.0,1952.850733533,2599.002042733
2017,1348.467538,313.430299,186.1366384,12.20286584,13.6999308,763.9092137,0.0,1873.93727204,2637.84648574
2018,1377.200821,185.04973,179.8016182,11.98447811,25.93658746,877.5589363,0.0,1779.9732347699999,2657.53217107
2019,1367.93187,43.48391121,165.7311386,24.29659243,25.34169503,1014.831111,55.4304744,1682.2156816699999,2697.04679267
2020,1396.328791,57.88928934,79.00123087,33.48982121,25.7047416,1158.216687,0.0,1592.4138740199999,2750.6305610199997
2021,1303.375547,233.7075201,27.93774004,124.9720301,27.65787803,998.7614367,136.5330075,1854.18372277,2852.9451594700004
