Fuel Type,Year,UNIT,VALUE
Hydro,1990,ktoe,60
Hydro,1991,ktoe,64
Hydro,1992,ktoe,70
Hydro,1993,ktoe,66
Hydro,1994,ktoe,79
Hydro,1995,ktoe,61
Hydro,1996,ktoe,62
Hydro,1997,ktoe,58
Hydro,1998,ktoe,79
Hydro,1999,ktoe,73
Hydro,2000,ktoe,73
Hydro,2001,ktoe,51
Hydro,2002,ktoe,78
Hydro,2003,ktoe,51
Hydro,2004,ktoe,54
Hydro,2005,ktoe,54
Hydro,2006,ktoe,62
Hydro,2007,ktoe,57
Hydro,2008,ktoe,83
Hydro,2009,ktoe,78
Hydro,2010,ktoe,52
Hydro,2011,ktoe,61
Hydro,2012,ktoe,69
Hydro,2013,ktoe,52
Hydro,2014,ktoe,61
Hydro,2015,ktoe,69
Hydro,2016,ktoe,59
Hydro,2017,ktoe,59
Hydro,2018,ktoe,60
Hydro,2019,ktoe,76
Hydro,2020,ktoe,80
Hydro,2021,ktoe,64
Hydro,2022,ktoe,60
Wind,1990,ktoe,
Wind,1991,ktoe,
Wind,1992,ktoe,0
Wind,1993,ktoe,1
Wind,1994,ktoe,2
Wind,1995,ktoe,1
Wind,1996,ktoe,1
Wind,1997,ktoe,4
Wind,1998,ktoe,15
Wind,1999,ktoe,16
Wind,2000,ktoe,21
Wind,2001,ktoe,29
Wind,2002,ktoe,33
Wind,2003,ktoe,39
Wind,2004,ktoe,56
Wind,2005,ktoe,96
Wind,2006,ktoe,139
Wind,2007,ktoe,168
Wind,2008,ktoe,207
Wind,2009,ktoe,254
Wind,2010,ktoe,242
Wind,2011,ktoe,377
Wind,2012,ktoe,345
Wind,2013,ktoe,391
Wind,2014,ktoe,442
Wind,2015,ktoe,565
Wind,2016,ktoe,529
Wind,2017,ktoe,640
Wind,2018,ktoe,743
Wind,2019,ktoe,862
Wind,2020,ktoe,993
Wind,2021,ktoe,841
Wind,2022,ktoe,964
Biomass,1990,ktoe,105
Biomass,1991,ktoe,101
Biomass,1992,ktoe,89
Biomass,1993,ktoe,90
Biomass,1994,ktoe,91
Biomass,1995,ktoe,89
Biomass,1996,ktoe,95
Biomass,1997,ktoe,92
Biomass,1998,ktoe,112
Biomass,1999,ktoe,105
Biomass,2000,ktoe,113
Biomass,2001,ktoe,125
Biomass,2002,ktoe,125
Biomass,2003,ktoe,119
Biomass,2004,ktoe,141
Biomass,2005,ktoe,180
Biomass,2006,ktoe,181
Biomass,2007,ktoe,170
Biomass,2008,ktoe,163
Biomass,2009,ktoe,182
Biomass,2010,ktoe,197
Biomass,2011,ktoe,193
Biomass,2012,ktoe,222
Biomass,2013,ktoe,232
Biomass,2014,ktoe,262
Biomass,2015,ktoe,260
Biomass,2016,ktoe,293
Biomass,2017,ktoe,341
Biomass,2018,ktoe,389
Biomass,2019,ktoe,374
Biomass,2020,ktoe,369
Biomass,2021,ktoe,376
Biomass,2022,ktoe,403
Landfill gas,1990,ktoe,
Landfill gas,1991,ktoe,
Landfill gas,1992,ktoe,
Landfill gas,1993,ktoe,
Landfill gas,1994,ktoe,
Landfill gas,1995,ktoe,
Landfill gas,1996,ktoe,7
Landfill gas,1997,ktoe,22
Landfill gas,1998,ktoe,21
Landfill gas,1999,ktoe,23
Landfill gas,2000,ktoe,24
Landfill gas,2001,ktoe,24
Landfill gas,2002,ktoe,19
Landfill gas,2003,ktoe,16
Landfill gas,2004,ktoe,20
Landfill gas,2005,ktoe,25
Landfill gas,2006,ktoe,25
Landfill gas,2007,ktoe,36
Landfill gas,2008,ktoe,39
Landfill gas,2009,ktoe,42
Landfill gas,2010,ktoe,44
Landfill gas,2011,ktoe,44
Landfill gas,2012,ktoe,43
Landfill gas,2013,ktoe,38
Landfill gas,2014,ktoe,39
Landfill gas,2015,ktoe,42
Landfill gas,2016,ktoe,40
Landfill gas,2017,ktoe,39
Landfill gas,2018,ktoe,34
Landfill gas,2019,ktoe,32
Landfill gas,2020,ktoe,29
Landfill gas,2021,ktoe,29
Landfill gas,2022,ktoe,26
Biogas,1990,ktoe,2
Biogas,1991,ktoe,3
Biogas,1992,ktoe,3
Biogas,1993,ktoe,4
Biogas,1994,ktoe,2
Biogas,1995,ktoe,3
Biogas,1996,ktoe,4
Biogas,1997,ktoe,4
Biogas,1998,ktoe,4
Biogas,1999,ktoe,4
Biogas,2000,ktoe,4
Biogas,2001,ktoe,4
Biogas,2002,ktoe,4
Biogas,2003,ktoe,9
Biogas,2004,ktoe,10
Biogas,2005,ktoe,9
Biogas,2006,ktoe,10
Biogas,2007,ktoe,10
Biogas,2008,ktoe,10
Biogas,2009,ktoe,13
Biogas,2010,ktoe,14
Biogas,2011,ktoe,14
Biogas,2012,ktoe,13
Biogas,2013,ktoe,11
Biogas,2014,ktoe,13
Biogas,2015,ktoe,14
Biogas,2016,ktoe,16
Biogas,2017,ktoe,16
Biogas,2018,ktoe,17
Biogas,2019,ktoe,19
Biogas,2020,ktoe,21
Biogas,2021,ktoe,23
Biogas,2022,ktoe,28
Liquid Biofuel,1990,ktoe,
Liquid Biofuel,1991,ktoe,
Liquid Biofuel,1992,ktoe,
Liquid Biofuel,1993,ktoe,
Liquid Biofuel,1994,ktoe,
Liquid Biofuel,1995,ktoe,
Liquid Biofuel,1996,ktoe,
Liquid Biofuel,1997,ktoe,
Liquid Biofuel,1998,ktoe,
Liquid Biofuel,1999,ktoe,
Liquid Biofuel,2000,ktoe,
Liquid Biofuel,2001,ktoe,
Liquid Biofuel,2002,ktoe,
Liquid Biofuel,2003,ktoe,
Liquid Biofuel,2004,ktoe,
Liquid Biofuel,2005,ktoe,1
Liquid Biofuel,2006,ktoe,3
Liquid Biofuel,2007,ktoe,15
Liquid Biofuel,2008,ktoe,24
Liquid Biofuel,2009,ktoe,29
Liquid Biofuel,2010,ktoe,26
Liquid Biofuel,2011,ktoe,24
Liquid Biofuel,2012,ktoe,24
Liquid Biofuel,2013,ktoe,22
Liquid Biofuel,2014,ktoe,23
Liquid Biofuel,2015,ktoe,24
Liquid Biofuel,2016,ktoe,24
Liquid Biofuel,2017,ktoe,28
Liquid Biofuel,2018,ktoe,34
Liquid Biofuel,2019,ktoe,46
Liquid Biofuel,2020,ktoe,57
Liquid Biofuel,2021,ktoe,81
Liquid Biofuel,2022,ktoe,104
Solar,1990,ktoe,0
Solar,1991,ktoe,0
Solar,1992,ktoe,0
Solar,1993,ktoe,0
Solar,1994,ktoe,0
Solar,1995,ktoe,0
Solar,1996,ktoe,0
Solar,1997,ktoe,0
Solar,1998,ktoe,0
Solar,1999,ktoe,0
Solar,2000,ktoe,0
Solar,2001,ktoe,0
Solar,2002,ktoe,0
Solar,2003,ktoe,0
Solar,2004,ktoe,0
Solar,2005,ktoe,0
Solar,2006,ktoe,1
Solar,2007,ktoe,1
Solar,2008,ktoe,3
Solar,2009,ktoe,5
Solar,2010,ktoe,8
Solar,2011,ktoe,9
Solar,2012,ktoe,9
Solar,2013,ktoe,10
Solar,2014,ktoe,11
Solar,2015,ktoe,12
Solar,2016,ktoe,13
Solar,2017,ktoe,13
Solar,2018,ktoe,15
Solar,2019,ktoe,17
Solar,2020,ktoe,19
Solar,2021,ktoe,21
Solar,2022,ktoe,27
Geothermal,1990,ktoe,0
Geothermal,1991,ktoe,0
Geothermal,1992,ktoe,0
Geothermal,1993,ktoe,0
Geothermal,1994,ktoe,0
Geothermal,1995,ktoe,0
Geothermal,1996,ktoe,0
Geothermal,1997,ktoe,0
Geothermal,1998,ktoe,0
Geothermal,1999,ktoe,0
Geothermal,2000,ktoe,0
Geothermal,2001,ktoe,0
Geothermal,2002,ktoe,0
Geothermal,2003,ktoe,1
Geothermal,2004,ktoe,2
Geothermal,2005,ktoe,4
Geothermal,2006,ktoe,7
Geothermal,2007,ktoe,10
Geothermal,2008,ktoe,13
Geothermal,2009,ktoe,14
Geothermal,2010,ktoe,16
Geothermal,2011,ktoe,17
Geothermal,2012,ktoe,19
Geothermal,2013,ktoe,20
Geothermal,2014,ktoe,23
Geothermal,2015,ktoe,27
Geothermal,2016,ktoe,32
Geothermal,2017,ktoe,39
Geothermal,2018,ktoe,44
Geothermal,2019,ktoe,54
Geothermal,2020,ktoe,66
Geothermal,2021,ktoe,79
Geothermal,2022,ktoe,100
