"Statistic Label","Fuel Type","Year","UNIT","VALUE"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1990","ktoe","3471"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1991","ktoe","3291"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1992","ktoe","3086"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1993","ktoe","3456"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1994","ktoe","3565"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1995","ktoe","4105"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1996","ktoe","3544"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1997","ktoe","2857"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1998","ktoe","2463"
"Primary Energy Production (ktoe)","Sum of all indigenous production","1999","ktoe","2462"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2000","ktoe","2161"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2001","ktoe","1776"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2002","ktoe","1546"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2003","ktoe","1837"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2004","ktoe","1880"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2005","ktoe","1702"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2006","ktoe","1686"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2007","ktoe","1435"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2008","ktoe","1573"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2009","ktoe","1464"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2010","ktoe","1855"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2011","ktoe","1723"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2012","ktoe","1292"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2013","ktoe","2327"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2014","ktoe","2054"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2015","ktoe","1963"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2016","ktoe","4244"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2017","ktoe","4888"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2018","ktoe","5048"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2019","ktoe","4161"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2020","ktoe","3564"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2021","ktoe","3043"
"Primary Energy Production (ktoe)","Sum of all indigenous production","2022","ktoe","3153"
"Primary Energy Production (ktoe)","Sum of all coal products","1990","ktoe","16"
"Primary Energy Production (ktoe)","Sum of all coal products","1991","ktoe","1"
"Primary Energy Production (ktoe)","Sum of all coal products","1992","ktoe","1"
"Primary Energy Production (ktoe)","Sum of all coal products","1993","ktoe","1"
"Primary Energy Production (ktoe)","Sum of all coal products","1994","ktoe","1"
"Primary Energy Production (ktoe)","Sum of all coal products","1995","ktoe","1"
"Primary Energy Production (ktoe)","Sum of all coal products","1996","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","1997","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","1998","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","1999","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2000","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2001","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2002","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2003","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2004","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2005","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2006","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2007","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2008","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2009","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2010","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2011","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2012","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2013","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2014","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2015","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2016","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2017","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2018","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2019","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2020","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2021","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all coal products","2022","ktoe","-"
"Primary Energy Production (ktoe)","Sum of all peat products","1990","ktoe","1411"
"Primary Energy Production (ktoe)","Sum of all peat products","1991","ktoe","1200"
"Primary Energy Production (ktoe)","Sum of all peat products","1992","ktoe","1021"
"Primary Energy Production (ktoe)","Sum of all peat products","1993","ktoe","1134"
